cs_ngram_diff,cs_dep_diff,non_cs_ngram_diff,non_cs_dep_diff
-0.8714948,-2.0152127,0.8476935,-0.5173602
-2.0383174,-1.012918,0.8843785,-0.6317172
-3.5700355,-0.7069621,-3.0579883,-0.9747185
-0.8843785,1.4135973,-0.2724762,-2.5432232
-3.6869654,-1.7320534,2.690311,2.0701704
0.0862914,0.073261,3.86522087,1.0736225
0.0508336,-0.717556,4.64465037,-0.3888993
-0.010063,-1.0936744,3.4772805,-0.501038
-3.579942,1.8832507,3.579942,-0.113916
0.7764723,-1.3474497,2.6749487,0.2671899
-4.0557959,4.5370006,4.3883177,0.399055
1.0828691,2.1130388,0.2819168,-1.739151
-0.4351536,1.1331318,1.2024432,2.8025427
-0.6083754,-0.6251084,0.8932036,0.4220762
1.1089668,-0.7910681,2.8349074,-0.39958
-2.1762657,4.8936632,2.1681624,1.769375
-1.1355574,-2.88116,2.536779,5.129121
-3.1312518,-0.0985759,5.29827007,0.6608635
-2.69101,1.7390332,6.89980777,-0.0174805
1.193853,0.2723743,4.64465037,2.5139675
-1.2834129,-0.9553143,3.6883459,-1.8686386
-3.170043,-0.4499305,2.9761085,3.0857439
-0.6147364,-0.995822,0.474747,0.348988
-1.4444471,0.5258367,0.2771002,-0.2778023
-3.9611228,0.0390204,2.4812174,0.0653073
-0.6523785,-1.962107,1.2256648,-0.1130897
0.738984,-1.3006274,1.3609662,0.1295175
-2.3787651,-2.0582987,1.1645352,-1.1829119
0.262059,1.2683833,1.2024432,0.7883033
0.8008061,-0.7654357,2.1259346,-0.905782
-2.6498426,0.5255594,3.4308267,-2.2673538
-0.7187286,-1.35291,1.534368,-6.5098908
-0.3749664,0.621464,1.7170444,0.1177572
-0.9667697,-0.7910681,5.94518977,0.9967133
-3.4450498,-0.1309178,6.89980777,0.0086904
-1.908986,-1.5235193,-1.2092825,1.405616
-0.961443,-1.687614,0.868688,-0.4802307
0.2258445,1.628422,-1.2157612,0.6573327
0.4960697,0.9396103,1.759009,1.69322
-3.9611228,0.6065593,-0.040461,0.4456197
0.2441935,3.1998375,1.3609662,0.428743
1.0936964,-0.6060153,-0.7095153,0.189051
-2.1762657,-1.382744,-0.040461,0.6893429
-1.0613044,0.1996094,6.85864037,0.7849537
-3.9611228,0.0399254,3.1938152,-0.636127
0.3435769,0.4685597,1.3609662,1.5751834
-1.627123,-0.3340746,1.8006385,1.3718134
0.5924191,-0.0946244,-2.3311295,0.2313817
-0.58848,-0.9299265,3.7895254,4.5785927
-2.3684678,-3.537401,1.8600049,1.495206
1.0582697,1.4135973,-0.4335916,0.441598
-1.640011,1.5076016,3.1816356,0.1735762
-3.645798,-0.0598538,-0.040461,1.0278117
-1.2784945,-0.4071836,0.8476935,1.2613189
-0.1084013,-0.4278736,1.1987785,1.4836927
0.6370405,-0.5998786,-1.3889425,0.828614
0.8970376,2.0055902,1.1011564,3.4865192
-3.9611228,1.0201614,0.5762244,0.905851
1.0699365,-0.3725359,1.565422,5.5169892
-1.0613044,-0.7698005,-1.295344,-0.6527889
-1.1485729,-2.9733673,2.7644414,-0.5428984
-1.5469526,-0.895123,-0.040461,2.1288372
0.452651,0.825623,1.2024432,-1.6293693
-1.4546505,-3.0466607,-3.0579883,-0.6226251
-0.9052086,1.637851,0.2370636,5.99967366
1.2397495,-0.5423999,-0.3075909,1.8282113
-3.5700355,0.9779172,0.1861265,-1.0228736
0.0528812,-0.0946244,0.8843785,-0.7013727
-4.0485605,-0.9269637,3.5609911,2.5277002
-0.867668,1.3178817,0.9863067,0.2990871
-3.579942,-1.7320534,1.572255,0.8019493
-2.1259346,0.6234166,1.2209413,0.245837
-1.310434,-0.2472768,2.8494735,1.3394401
0.5682869,-1.5697899,-0.9773605,2.4191732
-2.6710739,-1.2689803,1.269541,-1.137751
-1.546459,-1.6941426,1.1149631,-0.6514086
-2.69101,-1.0372852,-0.904273,0.317532
0.4948033,-0.6251084,-3.152195,0.4220762
-3.8134864,-0.9110333,-0.040461,-0.2893787
2.1053509,1.5420758,-0.7505259,0.6631654
-1.7900624,-1.7149282,3.5700355,0.8809805
-2.5545554,-1.0327264,-0.040461,0.2465685
-3.6869654,-0.2815865,1.1011564,0.7976625
0.0862914,0.4685597,-0.040461,0.8157296
-1.7059654,-5.8857476,1.3247846,0.4848291
-0.3671072,0.2806183,0.8568343,-1.181885
-1.0775005,-3.7227098,3.6883459,0.5811083
-3.4772805,-0.7069621,-0.040461,0.23697
0.140252,-2.3793636,-2.3000016,-0.62856
2.048089,0.936905,-0.6208285,0.3030717
-0.999924,4.4797237,-5.7508046,-0.2570055
-1.0910184,-0.4228445,3.8822804,0.921926
-1.6513229,0.786607,3.6441545,-0.5768544
-0.9840595,0.3565413,-3.7271687,1.819241
-0.5453701,-1.20423,-0.9203281,0.2635575
-2.9450207,0.6514086,-3.0579883,0.7069621
-2.0105907,-0.8594144,2.9377853,-0.360228
-3.6869654,-0.3725359,-0.8970376,0.2649269
-1.1838214,0.591131,0.909664,3.9341823
1.1777363,3.3326301,-0.5513005,-0.8069322
-1.4289606,3.4156799,3.0432628,1.7087949
-1.3247846,-1.1213818,0.7494894,-2.4455148
0.3219144,1.2683833,3.1386466,1.0742993
-3.4016941,4.0236497,-0.040461,-0.6579189
3.3557807,0.5615676,1.5385357,-0.6057391
-3.1386466,0.555404,2.1259346,0.292336
-0.8843785,-0.3257566,0.5820401,3.0450804
-1.3659392,0.0548345,2.4577775,-0.2893787
-3.226625,2.3870563,2.3414395,-0.8402033
-1.1355574,-1.2613189,2.779195,1.3459291
-2.1008594,2.1390973,1.8363238,1.05327106
-0.6775351,-1.7320534,2.6638385,-0.2422445
-3.5609911,1.5615447,3.7613981,0.3216929
-0.3762073,0.2170143,1.6657666,0.0392234
-2.2927036,-3.9185755,1.534368,0.7635641
0.21684,-0.2611146,1.247422,-3.541673
-1.7260725,-0.7054023,-3.0579883,0.9144024
-1.6524055,-1.2613189,3.5609911,-0.595566
-2.4054828,-1.2848518,3.2741533,-0.4972835
-1.1032243,-0.363616,1.2216477,1.867601
-1.1465367,1.074598,-1.1065845,0.8926247
-0.3496309,1.7856424,3.88519537,-0.4900794
1.4998355,-0.8599679,3.90190587,-1.0230169
-2.594884,3.1531506,2.160045,-0.8710677
-2.6638385,-3.3508812,3.4772805,-1.7407821
-2.973305,-0.1173973,3.8822804,0.189279
1.9064908,0.8185602,1.7295246,-0.2441497
-3.4951276,1.3651843,0.8426376,-2.8329993
-0.6591046,4.3244585,0.6591046,4.0059956
-2.1259346,-2.5934342,1.2209413,1.1746176
-0.363861,-1.8127162,5.44580037,-0.3006527
-3.8822804,0.8115425,0.6400966,-0.6290775
-3.8822804,-1.5644416,2.389631,2.2800658
-1.1264577,-1.7320534,2.9088764,-0.787099
1.8623445,-0.3887987,0.8682211,6.5085923
-3.7895254,2.1390973,3.495344,-0.584997
3.723409,-0.5116282,0.766128,2.88116
2.464862,3.2823677,-0.040461,0.4027316
-3.1386466,-0.3649115,1.31805,0.391051
-3.8822804,2.0055902,3.4576006,1.7440662
-3.579942,-1.3394963,1.6188275,-0.463439
-2.5071154,0.3441388,3.8822804,-1.8255587
0.6785808,1.0290531,-0.640604,2.8435594
-0.4358526,1.2683833,1.3247846,-2.1501383
-1.3247846,-0.3340746,1.3247846,0.162426
0.5825126,1.2096545,2.1259346,-2.1501383
-0.7888217,-0.7284804,-0.040461,-0.1254545
-3.8822804,2.3404244,-0.040461,0.4946814
-0.4037922,-1.6671335,-0.9643392,2.1854805
0.5973434,-0.308586,0.2819168,2.136885
-1.6447874,-1.1769426,-0.040461,0.399136
-1.246481,-4.178116,0.774691,0.7872903
-1.4239597,1.5615447,2.1681624,1.0035584
-2.6172528,-1.1295903,-0.040461,1.7672649
0.1989566,-0.4559864,2.6506229,-1.790832
-2.69101,-0.101988,1.6877099,0.5495214
-0.4351536,0.785208,0.525428,-2.1529224
-2.3650225,0.5262618,1.2658081,-0.8905777
-0.892649,-1.0972706,0.961443,0.341178
-1.132093,-0.55428,0.3726495,-0.941163
-2.9450207,0.4245384,-0.040461,0.5187549
-2.031082,1.6505157,3.1938152,0.014673
-2.3787651,-4.0498587,5.72702107,-0.0123908
-1.7059654,1.2683833,1.534368,-1.729142
1.783997,-2.6915955,-0.8459987,1.8063963
-1.0951018,0.5327816,-3.9316245,0.2640593
-2.3643154,0.9708103,2.973886,-1.7507813
-1.1025253,-0.5814867,1.5014486,0.9902912
-1.1355574,1.3038018,2.8190069,-0.0981224
-3.8822804,2.1390973,3.6811105,0.804198
-2.0383174,-0.7749153,1.580681,0.70445471
-3.2676971,-0.7069621,-0.040461,1.2741799
-2.1259346,-2.1827422,0.959652,1.0015378
-0.4924676,-0.6877113,2.232958,0.23697
-2.001741,1.4416559,-3.1267823,4.0250204
-0.8843785,-1.6993408,0.8843785,0.3014494
-0.606663,-5.1998337,-0.040461,3.1821213
2.4206885,0.4685597,1.3609662,0.7133403
0.9337275,0.0131918,1.3609662,2.068517
0.5599689,0.5757311,-0.040461,-0.9663364
-2.3866404,1.3461434,-4.7516805,0.0140606
-2.9450207,1.4185534,6.89257237,0.0375752
-3.875045,1.2558537,2.2094075,5.1165086
-2.4768566,-1.0972706,1.572255,2.398254
-1.3348277,3.7333775,1.2860394,1.1556201
-1.5058225,2.0055902,6.89980777,1.5473468
-2.5527303,-0.6251084,0.5069213,0.0541133
0.3054345,0.8115425,0.8812316,0.240208
-4.3955531,3.3544601,-0.040461,-0.4381287
2.2290735,3.4585961,1.3609662,-0.6057391
-3.875045,-2.4099408,0.6775351,0.2739227
3.8949395,0.4097759,0.653488,-2.5181633
-3.8822804,-1.9531667,6.89980777,2.5912164
0.9532942,0.3315695,-0.0240159,-0.3315695
-2.0383174,-0.2362803,1.3513756,-2.8183729
-0.6044275,-0.4530978,1.9604894,0.1350481
2.4848233,2.8173774,-3.0579883,0.7069621
-0.9819841,0.555404,3.0970581,3.9798893
-1.8640208,-0.8647917,2.9685559,-0.7918682
-2.0446077,0.1996094,2.1350983,0.6908783
-3.6869654,-1.1961305,1.1276632,0.4974724
-0.8026406,-1.0485394,-0.2625295,0.0488845
-2.1259346,-3.8590782,1.4760014,1.000032
0.5825126,-1.434561,0.959652,2.026794
-2.6442666,2.9473607,-3.1267823,-0.1966071
-1.790936,2.4547265,2.6453695,1.501115
1.1930405,1.3501071,-1.1285551,-1.6625283
-3.1209414,2.3404244,0.262702,-0.0510187
-1.3492489,2.2065877,-0.0895662,4.1076731
-1.1326924,0.6234166,1.3609662,1.7596613
-1.5178774,1.205081,1.7900624,0.382562
-2.1762657,0.6234166,2.1681624,1.7129867
-0.5556069,2.8989857,2.1762657,-0.2561033
-1.447099,0.289892,2.5496698,-2.9351247
-2.3177704,-0.7499408,3.6513899,3.1295207
0.5030227,-0.6233608,3.579942,-0.4325186
-0.387531,0.9066797,1.0270374,2.2871279
-2.0383174,-1.1556008,0.959652,-0.1366617
-3.6488779,-1.6718973,-0.040461,-0.38982
1.3631968,-4.0498587,-0.8454465,2.3795656
-3.6488779,-0.3462455,-0.040461,-0.4357987
0.7168165,0.2043903,1.3609662,1.08453
0.9519453,-0.433218,1.7900624,-0.1276395
-2.9524734,1.5615447,0.6775351,-0.3207225
-2.1762657,0.3987257,2.5192314,1.7529488
-3.5387746,1.2617184,2.1350983,0.8618536
-1.790936,-0.049062,-1.83104,-0.5301613
-0.018166,2.5918081,0.5264042,3.7138938
0.9595845,-0.7069621,-2.519083,2.88116
-3.6488779,0.8842565,-3.0579883,-0.0058294
-0.8476935,2.8393179,-1.8794184,0.466432
-1.2505899,1.6051974,2.2789674,-1.563202
-1.1503658,-0.05848,-0.8025716,0.3132281
-2.3982474,-0.9167963,0.532394,0.8563413
-2.7960501,2.0923553,0.6721869,1.6297925
-1.2115348,-0.2792063,0.3931718,0.2267728
0.8583212,0.3281485,0.8476935,1.1714738
-2.6710739,-0.0867182,4.0557959,0.3279097
-3.042099,2.0057596,1.8308925,1.2613189
-3.8822804,-0.7069621,1.572255,0.7680562
1.4769645,-0.1293783,-0.3409385,-0.0715607
-3.7895254,1.441599,-3.0579883,0.3989101
1.859533,2.3242223,0.868688,0.9494851
-3.579942,-0.6308111,3.6883459,0.5259483
-2.1259346,-0.1480264,0.959652,0.991774
0.135195,-1.5235882,2.4136594,0.0648043
-2.69101,-0.3866849,-0.040461,0.0776754
-1.627123,1.902869,1.3247846,-2.4477113
0.8216362,-0.8658357,0.8843785,1.579077
-2.5347784,0.1996094,2.7223659,0.4872684
-2.9010854,0.2565023,-1.03777,-2.6712326
-0.9632209,0.7546969,0.8843785,1.5987291
1.0458805,3.4226794,1.6342478,3.6939251
-1.0111057,0.9708103,3.5025794,1.884029
-1.7260725,-1.2613189,1.31805,-1.7276714
-3.6488779,-0.2792063,-0.040461,-0.3308435
-0.7549385,0.47386168,-0.066031,-0.2996942
-0.766128,0.66798,0.961443,-0.050135
-0.1677193,0.393774,-3.9316245,2.8416351
-4.0485605,-3.8936537,0.741541,-1.7075315
0.1939371,-1.759571,2.0433932,0.6075393
-0.5136263,-1.3867002,1.2209413,-1.407897
-1.0742889,-0.5708934,1.5813683,-1.568414
-3.7895254,-0.2599425,3.6883459,0.826881
1.2176785,1.6481095,0.5367632,0.9193945
-2.060204,-1.1556008,0.7885737,0.605839
-2.2810517,-0.809476,1.1822287,-1.3591407
2.6611547,-4.7935443,0.2819168,0.038792
-2.69101,-2.1133447,0.8843785,-2.2695918
0.800823,1.8958055,1.247422,-2.5481963
-3.9611228,-0.9544966,1.807331,2.3358985
-0.7549385,-1.3411927,-2.3069072,1.7684645
-0.6591046,-0.9238323,0.961443,-0.917653
-0.000327,-1.1556008,1.2209413,0.326153
-1.4543344,-1.0972706,1.2209413,-0.0616753
-3.9611228,-1.0972706,2.428273,1.5746145
-0.5453551,-0.5318977,0.8476935,4.8505899
0.1991765,0.6234166,6.89980777,1.6051259
-0.6657393,0.6234166,-5.1751096,-0.7107145
-3.6883459,-2.4275426,-0.040461,-0.2033887
-1.4876784,-2.101171,3.8822804,-1.510232
-2.2488946,0.6076507,0.4703369,0.342629
-1.5437867,-0.8911848,-0.2769794,0.0437883
-3.1903345,-0.7499408,-0.040461,2.068517
-1.7779593,0.2234236,3.6883459,-0.861472
-1.9620694,-1.297781,1.8596077,-1.136754
0.204935,0.6234166,3.8822804,-1.3624065
-1.2505899,0.060147,-0.040461,0.4971113
-0.7888217,0.6514086,-0.040461,-0.408567
-2.3608614,3.955258,-3.0579883,0.7069621
-2.1762657,-2.0221495,1.2727451,0.5346417
-3.579942,3.7333775,3.483974,1.6223539
0.0505254,-0.8973253,2.6749487,1.6120262
-1.2727451,0.0887151,1.5284944,0.1196084
-3.8822804,-0.0174826,1.6877099,-0.11463
-0.935232,0.8724505,-1.737219,-0.9267063
-2.4605425,-0.2792063,-3.1267823,1.6253984
-3.579942,-1.855718,2.1259346,-0.566756
-3.875045,0.1946705,1.1102755,-1.8433328
1.8623445,-0.2556373,-1.8888025,0.2923121
-2.2168934,-2.7951674,2.0464811,0.0724356
-1.5273932,-0.6101317,2.0842738,-0.3646193
-0.471379,1.0051793,6.89980777,-0.3194987
-2.0383174,-0.2792063,3.579942,1.002545
-2.1776982,-1.625313,3.265395,-1.358404
-4.3838358,1.136329,2.0945211,-1.1725078
1.8780932,0.1304154,0.9833553,1.0704976
-4.3838358,-0.5324774,-3.0579883,0.3262595
-0.7174557,0.1304154,0.909664,0.8427647
-0.8476935,0.2893787,0.8476935,1.053295
-0.8155845,-1.1556008,3.90190587,0.8275908
-2.1762657,-0.302321,3.875045,1.5037603
-0.6147364,-2.4275426,-0.554169,-0.216897
-4.0557959,0.4342131,-3.0579883,-0.7532257
0.3288293,-1.3633258,0.942951,0.0235753
-0.7416597,-2.0421898,1.1264577,-0.1754141
-2.69101,1.6384937,-0.040461,0.23697
0.21684,-3.9185755,1.3247846,3.4740797
-3.4772805,2.505105,-3.1267823,2.068517
-0.6591046,0.3133727,0.961443,0.3039584
-2.5071154,-0.2792063,-0.040461,-2.1043436
2.9747265,3.7061222,0.6131871,-0.3482349
-2.5527303,3.833765,-0.040461,1.8756707
1.394147,-1.3569999,2.1259346,-2.4477113
-3.6869654,1.8846094,-0.040461,-0.4367766
-0.1677193,-3.8636644,1.3609662,0.4879123
-1.0101882,-1.1516747,4.0557959,0.8135448
-1.5182233,0.282914,-0.040461,0.0472436
0.0788917,0.2147448,1.2024432,-2.5929253
-2.1008594,1.1561577,3.748358,0.2970602
-1.9305684,-1.1556008,2.1259346,2.88116
0.4142177,-1.3867002,0.8843785,3.7925724
-1.2727451,0.1168744,-5.0797688,-1.815319
-3.579942,0.244732,2.1762657,2.4449383
-2.5071154,1.2683833,2.240804,-2.1501383
-0.8476935,-0.4716228,1.3609662,1.795693
-3.9009519,0.8553291,1.3534399,0.9635165
1.7422185,0.125098,1.3609662,1.1460174
-1.9646504,-3.9185755,-0.040461,0.6136003
-2.0383174,0.882626,-0.040461,0.7532047
-1.9646504,0.5641507,-3.0579883,0.5537548
-3.9611228,0.3195424,-0.8970376,-1.3515019
-1.3492489,0.7056493,0.5453551,2.068517
-0.6386133,1.209873,1.3609662,1.240064
1.2923575,1.902869,0.5820401,-2.1501383
-2.0121176,-1.8920407,0.909664,-0.4367766
-1.31878,-0.1024108,-0.1824745,1.491349
-3.6883459,0.304063,3.0432628,0.401246
-3.1082666,0.41468,3.5700355,1.0427816
-0.2461285,0.308082,0.9805496,1.9987778
1.8515306,-0.6265361,1.104979,0.7069621
-3.6883459,2.5906842,-0.040461,2.5388335
-3.678616,0.41468,3.6513899,-1.057803
-1.2115348,1.136329,3.86522087,4.2448742
0.9962695,-3.219574,0.616803,0.8717685
-3.5700355,-1.1776966,-2.3429933,1.5320844
-0.8843785,-1.6397084,-0.9716925,-0.8667973
-3.5025794,-0.7408786,1.6284347,1.4145487
-1.1031422,1.3826257,3.8822804,0.7347847
-3.8822804,-3.9185755,-3.0579883,2.2939506
-0.9632209,-3.3669955,-1.5102235,2.509681
-0.8476935,2.7014252,3.2676971,0.2062842
-0.5820401,-0.8663487,-3.8949395,2.8221923
-1.124031,-0.385213,1.2209413,-0.9871602
-2.7727874,-1.0883512,2.6588421,1.7007909
-0.8714948,-1.1678084,1.2209413,0.6989652
-4.0557959,-1.012918,-3.0579883,-0.7092199
1.8092287,5.075495,2.1643114,1.2528093
-1.7308207,0.401953,2.1885882,0.8806927
-1.2505899,4.0916015,1.0366311,0.2999697
-1.8847308,0.6514086,-4.26532,-0.3101925
-1.668457,-1.1541425,0.3788419,0.5200843
-1.5013305,-0.95046,-0.040461,-0.1161589
-0.8714948,-1.9019782,3.5387746,0.874205
-3.8822804,-1.012918,-0.040461,-1.0101934
1.0677545,-0.7069621,-3.8949395,0.8427647
-3.8822804,-2.4275426,3.6883459,3.8042941
1.9068835,0.6082264,-1.8265772,0.658157
-2.3601847,-2.555198,3.104273,0.6193925
-1.8308925,-1.1556008,1.4901404,1.2328055
-2.846784,0.335853,2.0779848,1.7801471
0.738984,1.1728439,0.909664,1.6773863
-2.3787651,-1.0972706,0.741541,1.2868528
0.21684,-1.106074,1.3247846,1.6901496
-1.7260725,-1.3370832,-4.6198293,0.5245597
-1.7260725,0.3133727,-3.0579883,2.068517
-2.3787651,-0.049062,-3.1267823,0.8006437
-2.1403957,0.339172,1.3247846,0.2062842
-0.8568343,-1.3633258,1.2256648,1.5910863
0.676442,-1.0566865,1.3609662,-1.9638588
-3.8822804,0.7841072,2.2813101,0.7199814
-3.3925676,-3.4437206,2.2684134,-0.6060665
-0.3539504,-2.7154586,0.909664,1.728583
-0.9257708,-3.5680642,2.2178523,0.6571529
-0.9658774,5.5759382,-3.1507433,-2.3026252
-1.5644244,2.0471115,1.2209413,-1.108231
-1.1248576,0.4060836,-0.040461,-0.6485725
-0.6775351,-0.7011894,-0.040461,0.2927346
-3.8822804,0.094616,0.6775351,-0.3848045
-3.2449434,2.094654,1.8204664,-1.4059193
1.1731044,-5.627865,-1.674974,2.6095146
-1.4331885,0.3715756,1.2024432,2.1440603
-3.8822804,-0.0806483,5.11140897,-1.1187091
-0.9632209,-1.012918,3.90190587,-0.4906593
3.9316245,1.6214213,-1.2768765,4.237768
-3.3121621,0.339172,1.5506394,-1.1579559
0.0833764,-2.4299105,1.9653163,-0.3443153
-2.227171,0.9318767,3.5727066,-2.0486703
-1.09439,0.096977,3.841113,0.9172355
-3.4016941,-2.1372284,3.0854113,-0.794868
1.4880418,2.1668925,-0.1309554,3.1994455
-1.2505899,-1.7422571,2.57233,-1.1526216
-3.8822804,-2.375752,3.4450498,0.6865711
0.275536,0.3315695,3.90190587,2.88116
-1.3434414,-0.385213,-0.1672583,-1.4967707
3.674339,0.6514086,1.021209,0.4377463
-3.2449434,-0.0611911,1.8617474,1.7332087
-0.018166,-4.747647,3.03569337,3.7886974
-0.9632209,0.6514086,-1.1086065,0.179898
0.2625295,0.339172,1.3609662,3.7909353
-0.1471818,-2.5435913,0.741541,5.1761683
-1.7031589,2.3203814,1.0174236,-2.1041529
-1.676219,0.3377744,2.6415885,1.000072
-3.7895254,1.0962913,3.2741533,0.459926
-0.961443,-2.9649682,0.868688,2.3219405
-3.579942,0.6514086,3.042099,1.9784949
-0.58431,0.761473,6.89980777,0.863219
-3.743551,-0.7069621,-3.0579883,0.7069621
0.1939371,-0.3404206,2.032271,1.0695371
-2.428273,-0.7499408,0.959652,0.991774
-1.490831,-0.5779748,-0.040461,0.7824995
-0.3185283,-0.286035,3.5609911,2.4034573
-2.1762657,-0.0012798,1.5198786,1.6685303
-3.8822804,1.0589443,3.6883459,0.1346964
-0.5046775,-1.2345781,-0.1515925,0.4901728
-2.032271,1.3684495,1.3365872,-3.7547047
1.1698522,0.7023296,0.8843785,-4.6476846
-1.7031589,0.723103,1.6070874,4.131891
-1.951931,-1.1556008,1.1355574,1.330201
-0.6028702,-4.5134723,2.1259346,1.1746176
-2.428273,1.0405497,1.2209413,2.5888644
0.0528812,0.5327816,-0.9716925,1.7196837
-0.7815863,1.6384937,2.9377853,0.4178444
-2.0383174,1.3550641,-0.040461,0.341178
-3.0894492,-0.7069621,-3.51251,1.2305414
0.4329777,1.2368233,0.2819168,-0.2289424
-1.9784043,1.6391587,1.639839,0.644178
-0.0803387,-0.697361,3.579942,0.352908
-2.4700436,-0.4743461,3.483974,-0.8336103
-2.4424987,-1.1065684,-4.6317233,0.6248188
-1.3659392,0.6514086,2.4577775,0.5149713
-1.0206323,0.123054,1.1894641,0.045836
-1.0613044,-1.891944,3.8822804,-3.521244
-2.69101,-0.8783653,2.2166429,5.7525434
1.829908,-0.960927,1.534368,-6.5098908
-1.9301474,-2.4275426,-0.2079957,-0.688118
-2.69101,-2.4275426,-3.0579883,0.7069621
-1.1465367,-1.4947315,1.8006385,-0.2966232
0.2824774,0.5239277,-0.1309554,-1.2570184
-2.1350983,0.9318767,2.1762657,0.2313817
-3.7895254,0.1996094,3.7895254,0.2452217
0.2497635,-1.1855968,0.6591046,0.9042037
-2.5615127,0.1255325,1.2658081,-0.587186
0.6585447,-4.1262856,0.2819168,0.0462805
-2.7727874,0.8869428,-3.0579883,-0.5102547
-3.9611228,0.9708103,0.827964,0.1082053
0.8583212,1.8592453,3.86522087,4.2826245
-1.5085659,0.1996094,2.1762657,-0.0965171
-3.8822804,0.3278773,1.6366884,2.3468266
-0.8843785,0.125098,3.90190587,2.0702834
1.1310157,-0.352908,-0.0240159,-0.3315695
-3.025702,-2.7617869,6.89257237,2.4737015
-0.4037922,-0.7069621,3.90190587,1.891944
-1.4235373,-0.502154,3.12592867,0.882043
-0.8843785,-1.6012668,3.90190587,-0.6451138
-0.8155845,-0.5493817,-1.0825629,0.4482485
-3.579942,-1.8834777,2.6569634,0.6495367
-2.428273,-0.0996006,2.1259346,-1.2362468
0.5258365,-0.3125307,0.5820401,-1.0641921
-3.8822804,-3.2546394,2.5545554,-0.8985909
0.6112615,-0.929033,0.653488,2.3208455
-3.6869654,-0.043776,2.304459,-0.5173602
-1.012224,-1.078975,1.3609662,1.5751834
-0.892649,-0.653317,-0.306716,2.3929995
1.2645712,-0.094965,3.1082666,-2.4096852
-2.9511666,1.3316026,2.1350983,-0.0965171
-2.0591694,-0.0637315,3.8822804,0.7069621
-1.319291,-0.9110333,2.738223,2.4275426
-3.1852711,0.054402,3.6883459,0.7730996
-0.9265359,-0.0940671,-3.9316245,1.0613642
