word,freq,prob,surp
 rich,23111265,0.051529434,1.287944631
 lease,4648598,0.010364626,1.984446357
 house,88238824,0.196739409,0.706108637
the bathroom,2071283,0.004618183,2.335528908
The whole house,29117,6.492E-05,4.187621722
: deck,1798,4.00886E-06,5.396978661
There are window,198,4.41466E-07,6.355103158
time flexible,1469,3.27532E-06,5.484746553
welcome email,216,4.81599E-07,6.317314597
a full,9045375,0.020167786,1.695341772
please email,3284,7.32209E-06,5.1353652
and driveway,7923,1.76653E-05,4.752878692
There are half,8543,1.90477E-05,4.720157942
all free,161772,0.000360691,3.442864994
people share,52460,0.000116966,3.931940062
invincible nice,1,2.22962E-09,8.651768348
Very large living,712,1.58749E-06,5.799288355
rent all,5596,1.2477E-05,4.903890643
also available,764550,0.001704659,2.768362456
There are pet,143,3.18836E-07,6.496432311
welcome email,216,4.81599E-07,6.317314597
Want to return,209,4.65991E-07,6.331622062
The top floor view,1,2.22962E-09,8.651768348
 bathroom,3311165,0.007382653,2.131787526
Suitable for couple,274,6.10917E-07,6.214017786
. off,1,2.22962E-09,8.651768348
: no,1179423,0.00262967,2.580098756
 house,88238824,0.196739409,0.706108637
There are doorman,1,2.22962E-09,8.651768348
years lease,1445,3.22181E-06,5.491900501
very nice,959154,0.002138553,2.669880006
There are doorman,1,2.22962E-09,8.651768348
 an,924038039,2.060257489,-0.313921501
people share,52460,0.000116966,3.931940062
near neighborhood,8878,1.97946E-05,4.703453208
At present half,100,2.22962E-07,6.651768348
is fully,1307783,0.002915865,2.535232661
the house,28512385,0.063571901,1.196734802
one house,250588,0.000558717,3.252808078
 budget,8982512,0.020027625,1.698370542
. walk-in,1,2.22962E-09,8.651768348
through email,7776,1.73376E-05,4.761012096
 leasing,687021,0.001531799,2.814798336
very nice,959154,0.002138553,2.669880006
welcome email,216,4.81599E-07,6.317314597
. queen,1,2.22962E-09,8.651768348
There are indoor,749,1.66999E-06,5.777286531
the young,17345486,0.038673914,1.412581876
people share,52460,0.000116966,3.931940062
Very large living,712,1.58749E-06,5.799288355
other utility,15481,3.45168E-05,4.461969338
pass house,217,4.83828E-07,6.315308614
 house,88238824,0.196739409,0.706108637
: house,20281,4.5219E-05,4.344678983
and deck,50305,0.000112161,3.950157195
the offer,1436487,0.003202826,2.494466648
still available,143943,0.000320939,3.493577798
Pittsburgh cover,1,2.22962E-09,8.651768348
. so,1,2.22962E-09,8.651768348
open party,3262,7.27303E-06,5.138284392
welcome text,375,8.36109E-07,6.077737081
 utility,6943853,0.015482182,1.81016783
There are bus,937,2.08916E-06,5.680028757
 main,37334337,0.083241538,1.079659905
years lease,1445,3.22181E-06,5.491900501
the twin,596798,0.001330635,2.875940989
 call,54855827,0.122307874,0.912545582
the young,17345486,0.038673914,1.412581876
can share,282762,0.000630453,3.200347304
and vending,17261,3.84855E-05,4.414702396
The whole house,29117,6.492E-05,4.187621722
a queen,509611,0.001136241,2.944529555
a block,1417979,0.00316156,2.500098549
 about,408229976,0.910199396,0.040863457
 bedroom,5546123,0.01236577,1.907778851
this house,1591185,0.003547744,2.450047672
just remodel,57,1.27089E-07,6.895893493
There are free,4545,1.01336E-05,4.994234461
 manager,11812385,0.026337178,1.579430755
in basement,24838,5.53794E-05,4.256651726
corridor building,201,4.48154E-07,6.348572291
 room,76964590,0.171602105,0.765477388
near house,2472,5.51163E-06,5.258719882
: queen,4269,9.51827E-06,5.021442194
There are double,2401,5.35333E-06,5.271376188
. email,1,2.22962E-09,8.651768348
or available,67140,0.000149697,3.824787011
 house,88238824,0.196739409,0.706108637
is fully,1307783,0.002915865,2.535232661
if renew,1,2.22962E-09,8.651768348
 utilities,2057917,0.004588381,2.338340494
open party,3262,7.27303E-06,5.138284392
enjoy apartment,42,9.36442E-08,7.028519058
~ update,157,3.50051E-07,6.455868696
to visit,5802218,0.012936765,1.888174306
 apartment,8091938,0.01804198,1.743715802
can move,846264,0.001886851,2.724262482
School is over so,1,2.22962E-09,8.651768348
: apartment,2675,5.96424E-06,5.224444562
. yearly,1,2.22962E-09,8.651768348
place playground,1,2.22962E-09,8.651768348
There are walk,74,1.64992E-07,6.782536629
a fireplace,215613,0.000480736,3.318093406
 prefer,7599621,0.016944298,1.770976414
or house,135928,0.000303068,3.518459421
zhang king,1,2.22962E-09,8.651768348
the apartment,1668537,0.00372021,2.429432507
The whole house,29117,6.492E-05,4.187621722
package utility,75,1.67222E-07,6.776707085
The whole house,29117,6.492E-05,4.187621722
rent house,1958,4.3656E-06,5.359955661
building house,1646,3.66996E-06,5.435338517
please email,3284,7.32209E-06,5.1353652
for check,21853,4.8724E-05,4.312257283
There is no floor,445,9.92183E-07,6.003408337
There are doorman,1,2.22962E-09,8.651768348
 house,88238824,0.196739409,0.706108637
 house,88238824,0.196739409,0.706108637
open party,3262,7.27303E-06,5.138284392
people share,52460,0.000116966,3.931940062
There are bar,183,4.08021E-07,6.389317259
or couple,23985,5.34775E-05,4.271828626
the lease,1172202,0.00261357,2.58276589
add utility,470,1.04792E-06,5.97967049
The price the,4437,9.89284E-06,5.00467892
this apartment,84234,0.00018781,3.726280924
in union,252441,0.000562849,3.249608456
hair email,1,2.22962E-09,8.651768348
is pet,1403,3.12816E-06,5.504710677
a bathroom,194787,0.000434302,3.362208379
a happy,2318486,0.005169352,2.286563871
individual house,8050,1.79485E-05,4.745972468
The room house,40,8.9185E-08,7.049708357
The whole house,29117,6.492E-05,4.187621722
 update,1906925,0.004251726,2.371434736
rent house,1958,4.3656E-06,5.359955661
is scam,55,1.22629E-07,6.911405659
 ps,349290,0.000778785,3.108582196
zhang house,1,2.22962E-09,8.651768348
The room available,1389,3.09695E-06,5.509066103
The whole house,29117,6.492E-05,4.187621722
a house,5332211,0.011888826,1.924861022
. $300,1,2.22962E-09,8.651768348
There are doorman,1,2.22962E-09,8.651768348
There are indoor,749,1.66999E-06,5.777286531
a closet,266257,0.000593653,3.226467314
 bedroom,5546123,0.01236577,1.907778851
 apt,4813362,0.010731988,1.969319823
the summer,8488087,0.018925243,1.722958526
or email,34106,7.60436E-05,4.118937561
 town,44491591,0.099199524,1.003490412
specific floor,942,2.10031E-06,5.677717446
specific email,862,1.92194E-06,5.716261082
 see,255652906,0.570009883,0.244117615
Due to the gas,2778,6.1939E-06,5.208036107
 lobby,2215748,0.004940285,2.306247982
There are lease,1,2.22962E-09,8.651768348
all utility,8134,1.81358E-05,4.74146418
is house,7151,1.5944E-05,4.79740157
In and out lobby,1,2.22962E-09,8.651768348
 prefer,7599621,0.016944298,1.770976414
can email,4896,1.09162E-05,4.961926939
house floor,15428,3.43986E-05,4.463458718
There are doorman,1,2.22962E-09,8.651768348
. lease,1,2.22962E-09,8.651768348
 apartment,8091938,0.01804198,1.743715802
indoor garage,498,1.11035E-06,5.954539006
people share,52460,0.000116966,3.931940062
all offer,27412,6.11185E-05,4.213827625
rent house,1958,4.3656E-06,5.359955661
The room or,1325,2.95425E-06,5.52955247
 house,88238824,0.196739409,0.706108637
a block,1417979,0.00316156,2.500098549
a block,1417979,0.00316156,2.500098549
 available,50526536,0.112655183,0.948248823
the email,71958,0.000160439,3.794689264
 the,16977752813,37.85400698,-1.578111858
， queen,209898,0.000467994,3.329760048
， leasing,52125,0.000116219,3.93472228
 building,39069668,0.087110674,1.059928628
 doorman,218735,0.000487697,3.311850068
just deep,13978,3.11657E-05,4.506323312
can share,282762,0.000630453,3.200347304
the house,28512385,0.063571901,1.196734802
a walk-in,26507,5.91006E-05,4.22840777
since available,1941,4.3277E-06,5.363742813
 free,68139641,0.151925786,0.818368507
a houses,525,1.17055E-06,5.931609045
 utility,6943853,0.015482182,1.81016783
", utility",147293,0.000328408,3.483586241
negotiation move,63,1.40466E-07,6.852427799
the garage,917114,0.002044819,2.689345025
Don't need to security,1,2.22962E-09,8.651768348
the apartment,1668537,0.00372021,2.429432507
live house,637,1.42027E-06,5.847628916
 house,88238824,0.196739409,0.706108637
 nice,11424445,0.025472218,1.593933237
zhang king,1,2.22962E-09,8.651768348
 hard,50333840,0.112225543,0.949908284
very nice,959154,0.002138553,2.669880006
live dining,1,2.22962E-09,8.651768348
: bedroom,1681,3.748E-06,5.426200635
a outdoor,425,9.4759E-07,6.023379418
a bedrooms,1,2.22962E-09,8.651768348
 bedroom,5546123,0.01236577,1.907778851
a walk-in,26507,5.91006E-05,4.22840777
/ month,67613,0.000150752,3.821738142
this apt,3342,7.4514E-06,5.127761903
. quarter,1,2.22962E-09,8.651768348
( queen,19745,4.40239E-05,4.35631121
The boy share,111,2.47488E-07,6.60644537
existing queen,146,3.25525E-07,6.487415493
very nice,959154,0.002138553,2.669880006
visa check,516,1.15049E-06,5.939118647
layer house,309,6.88954E-07,6.161809869
including bath,698,1.55628E-06,5.807912926
 update,1906925,0.004251726,2.371434736
layer house,309,6.88954E-07,6.161809869
 house,88238824,0.196739409,0.706108637
. floor,1,2.22962E-09,8.651768348
 rooms,13589534,0.030299553,1.518563784
.  sewage,1,2.22962E-09,8.651768348
including paper,7323,1.63275E-05,4.787079314
please email,3284,7.32209E-06,5.1353652
"After all, bathroom",1,2.22962E-09,8.651768348
very nice,959154,0.002138553,2.669880006
a house,5332211,0.011888826,1.924861022
/ month,67613,0.000150752,3.821738142
the house,28512385,0.063571901,1.196734802
 house,88238824,0.196739409,0.706108637
. share,1,2.22962E-09,8.651768348
The landlord post,1,2.22962E-09,8.651768348
 apartment,8091938,0.01804198,1.743715802
sell queen,55,1.22629E-07,6.911405659
people share,52460,0.000116966,3.931940062
( house,47764,0.000106496,3.972667659
. house,1,2.22962E-09,8.651768348
very nice,959154,0.002138553,2.669880006
this apt,3342,7.4514E-06,5.127761903
The whole house,29117,6.492E-05,4.187621722
the email,71958,0.000160439,3.794689264
 neighborhood,8484844,0.018918013,1.723124486
is queen,12402,2.76518E-05,4.558276621
welcome email,216,4.81599E-07,6.317314597
a bedroom,254376,0.000567163,3.246292214
a closet,266257,0.000593653,3.226467314
 bonus,1557513,0.003472669,2.459336668
There are basement,74,1.64992E-07,6.782536629
the lease,1172202,0.00261357,2.58276589
very nice,959154,0.002138553,2.669880006
Some of the house,2723,6.07127E-06,5.216720707
the location,3462452,0.007719966,2.112384587
. share,1,2.22962E-09,8.651768348
free gym,271,6.04228E-07,6.218799057
 house,88238824,0.196739409,0.706108637
 house,88238824,0.196739409,0.706108637
. a,102,2.27422E-07,6.643168177
is apartment,567,1.2642E-06,5.898185289
: studio,31258,6.96936E-05,4.156807161
can a,901849,0.002010784,2.69663452
and half,2479267,0.005527833,2.257445049
a house,5332211,0.011888826,1.924861022
various apartments,7796,1.73821E-05,4.759896518
 apartments,2081252,0.00464041,2.33344368
is park,1170,2.60866E-06,5.583582487
independent house,1747,3.89515E-06,5.409475443
take bus,15751,3.51188E-05,4.454460217
or email,34106,7.60436E-05,4.118937561
 lease,4648598,0.010364626,1.984446357
There are park,147,3.27755E-07,6.484451014
layer duplex,1,2.22962E-09,8.651768348
. management,1,2.22962E-09,8.651768348
is house,7151,1.5944E-05,4.79740157
a house,5332211,0.011888826,1.924861022
layer house,309,6.88954E-07,6.161809869
layer house,309,6.88954E-07,6.161809869
. view,1,2.22962E-09,8.651768348
a queen,509611,0.001136241,2.944529555
 queen,6558077,0.014622047,1.834991837
 living,50484156,0.112560691,0.948613248
To view floor,1,2.22962E-09,8.651768348
big apt,1,2.22962E-09,8.651768348
A friend house,1,2.22962E-09,8.651768348
 house,88238824,0.196739409,0.706108637
with garage,2868,6.39456E-06,5.194189201
very flexible,91519,0.000204053,3.690257082
provide queen,1,2.22962E-09,8.651768348
 apartment,8091938,0.01804198,1.743715802
 apartment,8091938,0.01804198,1.743715802
 apt,4813362,0.010731988,1.969319823
still available,143943,0.000320939,3.493577798
Very large walk-in,62,1.38237E-07,6.859376659
a block,1417979,0.00316156,2.500098549
hall apartment,138,3.07688E-07,6.511889262
super nice,1662,3.70564E-06,5.431137329
the house,28512385,0.063571901,1.196734802
 house,88238824,0.196739409,0.706108637
between bedroom,904,2.01558E-06,5.695599918
A lot of money,9870,2.20064E-05,4.657451196
the crime,2417392,0.005389875,2.268421268
rent house,1958,4.3656E-06,5.359955661
I email,928,2.06909E-06,5.684220372
including utilities,4886,1.08939E-05,4.962814886
building house,1646,3.66996E-06,5.435338517
 house,88238824,0.196739409,0.706108637
put queen,480,1.07022E-06,5.970527111
( powder,13349,2.97633E-05,4.526319615
 lease,4648598,0.010364626,1.984446357
( powder,13349,2.97633E-05,4.526319615
. furniture,1,2.22962E-09,8.651768348
the house,28512385,0.063571901,1.196734802
In and out apartment,1,2.22962E-09,8.651768348
Very large living,712,1.58749E-06,5.799288355
 bathroom,3311165,0.007382653,2.131787526
and email,38525,8.58963E-05,4.066025701
At any time email,1,2.22962E-09,8.651768348
 email,1149215,0.002562317,2.591367062
There are floor,340,7.58072E-07,6.120289431
 house,88238824,0.196739409,0.706108637
is house,7151,1.5944E-05,4.79740157
a house,5332211,0.011888826,1.924861022
. yearly,1,2.22962E-09,8.651768348
 washer,514415,0.001146952,2.940454724
a house,5332211,0.011888826,1.924861022
 washer,514415,0.001146952,2.940454724
: no,1179423,0.00262967,2.580098756
Can also be email,1,2.22962E-09,8.651768348
 topic,7387640,0.01647166,1.783262624
There are dining,317,7.06791E-07,6.150709086
very cozy,9911,2.20978E-05,4.655650872
building house,1646,3.66996E-06,5.435338517
good house,71976,0.000160479,3.794580641
 email,1149215,0.002562317,2.591367062
super nice,1662,3.70564E-06,5.431137329
a playground,124306,0.000277156,3.557276257
. everything,1,2.22962E-09,8.651768348
the acc,15538,3.46439E-05,4.460373231
( bedroom,1953,4.35446E-06,5.361066105
 floor,26833734,0.05982914,1.223087238
open party,3262,7.27303E-06,5.138284392
 house,88238824,0.196739409,0.706108637
open party,3262,7.27303E-06,5.138284392
. utilities,1,2.22962E-09,8.651768348
( chinese,274,6.10917E-07,6.214017786
the balcony,750917,0.001674263,2.776176412
 plus,12950173,0.028874018,1.539492778
a offer,1231,2.74467E-06,5.561510295
between apartment,1110,2.47488E-06,5.60644537
to email,21229,4.73327E-05,4.324838811
in email,9689,2.16028E-05,4.665489392
: house,20281,4.5219E-05,4.344678983
 basement,2691651,0.00600137,2.2217496
to email,21229,4.73327E-05,4.324838811
( queen,19745,4.40239E-05,4.35631121
. basement,1,2.22962E-09,8.651768348
 house,88238824,0.196739409,0.706108637
the lease,1172202,0.00261357,2.58276589
The girl share,72,1.60533E-07,6.794435852
with garage,2868,6.39456E-06,5.194189201
 floor,26833734,0.05982914,1.223087238
the dining,2038351,0.004544757,2.342489378
. easy,1,2.22962E-09,8.651768348
the house,28512385,0.063571901,1.196734802
a bedroom,254376,0.000567163,3.246292214
led parking,1,2.22962E-09,8.651768348
between bedroom,904,2.01558E-06,5.695599918
 lease,4648598,0.010364626,1.984446357
and centre,91297,0.000203558,3.691311841
open party,3262,7.27303E-06,5.138284392
others share,20097,4.48088E-05,4.348637116
 apartment,8091938,0.01804198,1.743715802
sometimes dining,371,8.27191E-07,6.082394439
 share,26977157,0.06014892,1.220772169
sign lease,332,7.40235E-07,6.130630265
 lease,4648598,0.010364626,1.984446357
the house,28512385,0.063571901,1.196734802
 living,50484156,0.112560691,0.948613248
the apt,34031,7.58763E-05,4.119893637
enjoy off,260,5.79702E-07,6.236795
family house,80133,0.000178666,3.747956946
this house,1591185,0.003547744,2.450047672
: email,4356,9.71224E-06,5.012680477
 house,88238824,0.196739409,0.706108637
There are window,198,4.41466E-07,6.355103158
 house,88238824,0.196739409,0.706108637
 house,88238824,0.196739409,0.706108637
 house,88238824,0.196739409,0.706108637
There are queen,77,1.71681E-07,6.765277623
", email",73333,0.000163505,3.786468896
: house,20281,4.5219E-05,4.344678983
building house,1646,3.66996E-06,5.435338517
the set,4522587,0.010083669,1.996381418
: email,4356,9.71224E-06,5.012680477
also available,764550,0.001704659,2.768362456
 basement,2691651,0.00600137,2.2217496
pen money,118,2.63096E-07,6.579886341
 safety,15543315,0.03465575,1.4602247
 prefer,7599621,0.016944298,1.770976414
please call,141411,0.000315293,3.501285155
The boy only,4012,8.94525E-06,5.048407424
/ month,67613,0.000150752,3.821738142
There are table,203,4.52614E-07,6.34427231
To worry about bill,133,2.9654E-07,6.527916707
the lease,1172202,0.00261357,2.58276589
. share,1,2.22962E-09,8.651768348
zhang queen,1,2.22962E-09,8.651768348
and neighbourhood,25645,5.71787E-05,4.242765645
very nice,959154,0.002138553,2.669880006
Most of the pattern,135,3.00999E-07,6.52143458
rent living,496,1.10589E-06,5.956286672
or whole,150056,0.000334568,3.475514983
live living,188,4.19169E-07,6.377610499
apartment basement,115,2.56407E-07,6.591070508
the apartment,1668537,0.00372021,2.429432507
so bedroom,1,2.22962E-09,8.651768348
: apartment,2675,5.96424E-06,5.224444562
mother-in-law keep,1,2.22962E-09,8.651768348
/ month,67613,0.000150752,3.821738142
the apartment,1668537,0.00372021,2.429432507
. queen,1,2.22962E-09,8.651768348
one diner,1432,3.19282E-06,5.49582533
put king,255,5.68554E-07,6.245228168
independent bedroom,1,2.22962E-09,8.651768348
Hand in deposit,1,2.22962E-09,8.651768348
is all,7500948,0.016724294,1.776652194
The whole apartment,1884,4.20061E-06,5.37668745
a living,4151486,0.009256253,2.033564771
 house,88238824,0.196739409,0.706108637
and bedroom,46478,0.000103628,3.984520917
a house,5332211,0.011888826,1.924861022
 the,16977752813,37.85400698,-1.578111858
add utility,470,1.04792E-06,5.97967049
layer house,309,6.88954E-07,6.161809869
very free,85410,0.000190432,3.720259626
the maintece,1,2.22962E-09,8.651768348
with easy,132174,0.000294698,3.530622315
the property,9522531,0.021231665,1.673015953
common share,29862,6.6581E-05,4.176649457
independent house,1747,3.89515E-06,5.409475443
years lease,1445,3.22181E-06,5.491900501
a bedroom,254376,0.000567163,3.246292214
the apartment,1668537,0.00372021,2.429432507
can email,4896,1.09162E-05,4.961926939
 apt,4813362,0.010731988,1.969319823
 house,88238824,0.196739409,0.706108637
or couple,23985,5.34775E-05,4.271828626
contains utilities,393,8.76242E-07,6.057375798
a bedroom,254376,0.000567163,3.246292214
hair email,1,2.22962E-09,8.651768348
 about,408229976,0.910199396,0.040863457
The whole apartment,1884,4.20061E-06,5.37668745
package gas,63,1.40466E-07,6.852427799
person of extraordinary powers  basement,68,1.51614E-07,6.819259436
welcome email,216,4.81599E-07,6.317314597
There are air,1039,2.31658E-06,5.635152801
decorate living,50,1.11481E-07,6.952798344
 living,50484156,0.112560691,0.948613248
There are dining,317,7.06791E-07,6.150709086
or summer,113385,0.000252806,3.597212744
very nice,959154,0.002138553,2.669880006
very nice,959154,0.002138553,2.669880006
is house,7151,1.5944E-05,4.79740157
this apt,3342,7.4514E-06,5.127761903
or on,4883926,0.010889319,1.962999273
 management,33588401,0.074889509,1.125579019
between bedroom,904,2.01558E-06,5.695599918
. wireless,1,2.22962E-09,8.651768348
very nice,959154,0.002138553,2.669880006
sign lease,332,7.40235E-07,6.130630265
the bedroom,1593597,0.003553122,2.449389845
the bedroom,1593597,0.003553122,2.449389845
Go to the shopping,49,1.09252E-07,6.961572268
the house,28512385,0.063571901,1.196734802
or share,115711,0.000257992,3.588393701
the parking,1098825,0.002449967,2.610839817
the lease,1172202,0.00261357,2.58276589
In the short term share,1,2.22962E-09,8.651768348
a apartment,729,1.6254E-06,5.78904082
the living,6293580,0.014032318,1.852870591
Set of sheet,222,4.94977E-07,6.305415374
the baby,4736378,0.010560343,1.976321993
just email,666,1.48493E-06,5.828294119
: screen,4277,9.5361E-06,5.020629098
is purple,23408,5.2191E-05,4.28240404
in dealer,4877,1.08739E-05,4.963615593
very nice,959154,0.002138553,2.669880006
but garden,1423,3.17276E-06,5.498563448
At that time manager,566,1.26197E-06,5.898951917
write paper,371,8.27191E-07,6.082394439
